iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
1270,13015040,26031,4.544726346997161,4.244652955136409,4.381616794500697,0.14211389625941312,7.934453562099202,5.142823271434177,5.12262421069231
1280,13117440,26232,4.555927377933638,4.196355973762179,4.395402563871503,0.1332144334067452,7.934241222123694,5.161670000112118,5.155108670154133
1290,13219840,26437,4.5692805201491185,4.390497963498939,4.439093913945518,0.1400033636954014,7.817224850206283,5.157029612660703,5.293050860237684
1300,13322240,26642,4.614143056037759,4.398308034471784,4.415251903432344,0.13008420908088145,7.831585227655631,5.226743769064708,5.467050170955229
1310,13424640,26847,4.612518728202234,4.343856054043503,4.380132049546684,0.13293341135176437,8.007961532150784,5.241630992899238,5.299935655062696
1320,13527040,27052,4.64189435337555,4.342548483553126,4.402434744477307,0.14674647951122624,8.079072670671183,5.4457460523611925,5.135471819856837
1330,13629440,27257,4.6373989759292105,4.3799817122902995,4.3504929735967,0.150355014222878,8.036701334975618,5.184439409738043,5.465006147112808
1340,13731840,27462,4.64338417894527,4.308464025429437,4.339148038361881,0.13498512371454022,8.104617880930046,5.377046490695259,5.261123361024621
1350,13834240,27667,4.652785302467003,4.327987943274848,4.320113799668592,0.1352883283174699,7.949524229198747,5.3903473159468,5.468652839203404
1360,13936640,27872,4.648586657405251,4.31970605182551,4.4141919187308805,0.15599194248028503,7.96271208531002,5.19517846824202,5.51485887226305
1370,14039040,28077,4.634654582884401,4.4095586783336085,4.3696248048736095,0.13283821583620148,8.014374216510289,5.274560123629741,5.381875553572162
1380,14141440,28282,4.753354825415705,4.391508188016334,4.395643678635065,0.13812806056136487,8.065731142668616,5.557048598108887,5.6102226471045915
1390,14243840,28487,4.715321044249317,4.351844231671848,4.422400087842827,0.13159956354777055,8.125607588606577,5.309962024286559,5.587035956962854
1400,14346240,28692,4.772686000157902,4.4617306209310925,4.5127303369012175,0.1322348935712689,8.040509913317324,5.40281619741844,5.775138659581264
1410,14448640,28897,4.777006734852481,4.500109955208143,4.529904749790661,0.1294446748297777,8.048874615600102,5.55540932962479,5.621400304417077
1420,14551040,29102,4.653890796845962,4.361897691504295,4.408431150905175,0.13531845759381037,7.965585432288406,5.396070677116142,5.36404826632628
1430,14653440,29307,4.701847633229461,4.303221053217584,4.376119584887887,0.15106049971999755,7.9570856809533295,5.425860487749389,5.599111912836706
1440,14755840,29512,4.69163589117492,4.417212130536464,4.434425208085724,0.12670425268135319,7.979816197612943,5.260516796038837,5.656717001455744
1450,14858240,29717,4.7271981792901965,4.46652844481907,4.469229323878581,0.13049516775410241,7.9649515909972255,5.597430610908941,5.473884202912134
1460,14960640,29922,4.612935618038488,4.317981586370375,4.441652747653914,0.13411611673208834,8.027942310542723,4.9027909622657635,5.558175952997953
1470,15063040,30127,4.7185920470539475,4.419753921277182,4.428807485578648,0.14706374353299312,7.941546682987111,5.37529770205883,5.700244621112159
1480,15165440,30332,4.670040853825357,4.427745239738453,4.4013046939174885,0.1304172029436896,7.914295864169946,5.306863116235895,5.5973233918597645
1490,15267840,30536,4.589533692816715,4.53747424570084,4.546014508755916,0.13347127011584484,7.881877208505765,4.895688818104102,5.490616658601951
1500,15370240,30741,4.747692080477551,4.537510004745021,4.448371620386909,0.14466404239238703,8.140238699348503,5.285031531220309,5.720154509039649
1510,15472640,30946,4.732304142804828,4.532310236446247,4.406904140635758,0.13126699294920305,7.917047984964295,5.4051272720134,5.801174323461484
1520,15575040,31151,4.715717697545347,4.46954089986106,4.468286154058934,0.13661081913349613,7.9344153519811345,5.320121717291922,5.719154445261249
1530,15677440,31352,4.7181511426672005,4.476847386805256,4.415476855521103,0.1427693668701278,7.991622946184773,5.27957974194206,5.76130680281794
1540,15779840,31557,4.749567318348662,4.528257247967507,4.519182757397326,0.1316523176811527,8.139995045137068,5.245047387229636,5.71195908429813
1550,15882240,31762,4.803960846380156,4.5046273299436415,4.4591631270999486,0.13333659317410007,8.12069709165155,5.5018063868911495,5.804801033084034
1560,15984640,31967,4.762758075905559,4.522565262540619,4.416049293882224,0.13206624709711406,8.01433417649958,5.3729645411064215,5.878376120942456
1570,16087040,32172,4.759718107306688,4.583212817224932,4.443237656308183,0.13536872013632273,7.950127855022217,5.4742768674243365,5.795579437642385
1580,16189440,32377,4.8067636856899245,4.576469037811389,4.490573005589052,0.13488431151171387,8.194027618059469,5.595376208218211,5.618957285071175
1590,16291840,32582,4.7453616475275044,4.4338367398927785,4.4610350633804785,0.1500094536039423,7.911088884016223,5.33425733579796,5.870417500838919
1600,16394240,32787,4.777242566815874,4.521265031723829,4.428829695992178,0.13532862670831167,8.100652678976843,5.552023432166929,5.669378400235104
1610,16496640,32992,4.7360121601206595,4.525392200170701,4.481697890828242,0.13486299353024445,8.07040927363545,5.2252163951939306,5.767874247415431
1620,16599040,33197,4.75627800715574,4.513379405322367,4.4141992035008535,0.13592239649710713,7.950812237396546,5.497228423400318,5.783227774983873
